num,code,barcode,desc,query,status,engine,source_url,img_path,img_size_kb
5630,,4224200132000,PROSTHETIC MODULAR SINGLE AXIS HIP JOINT ALUMINUM WITH STRIDE CONTROL AND EXTENSION ASSIST PROSTHETICS & ORTHOSIS SUPPLIES,PROSTHETIC MODULAR SINGLE,ok_retry,bing,https://i.ytimg.com/vi/AVUqdaQoR7c/maxresdefault.jpg,/home/z/my-project/download/product_images/5630.jpg,37.4
5882,,4224200114500,ORTHOTIC KNEE JOINT LEVER LOCK SPRING LOADED LEVER SYSTEM AUTOMATIC LOCKING ALUMINUM ROUNDED ALUMINUM SQUARED STAINLESS STEEL AND TITANIUM UPRIGHTS AVAILABLE VARUS/VALGUS CONTOURS AVAILABLE CAN BE COM,ORTHOTIC KNEE JOINT,ok_retry,bing,https://images.entamenext.com/articles_photos/22000/22031/ORG/5710e7135aa9f73ddbc9b86520292928.jpg,/home/z/my-project/download/product_images/5882.jpg,34.2
5777,,4224200034300,LEATHER DRIVE PUNCH KIT AN ORTHOTICS WORKSHOP TOOL TOOL STEEL 13 PARTS Ø 2 3 4 5 6 8 10 11 13 14 16 19 AND 20 MM PROSTHETICS & ORTHOSIS SUPPLIES,LEATHER DRIVE PUNCH,ok_retry,bing,https://pimg.mk.co.kr/news/cms/202406/16/news-p.v1.20240615.6d2dbd6b60264237887335d6ff7db0c5_P1.png,/home/z/my-project/download/product_images/5777.jpg,53.2
6030,,4224200407900,"NEOPRENE TRANSFEMORAL SUSPENSION SLEEVE, SIZE SMALL, LEFT PROSTHETICS & ORTHOSIS SUPPLIES",NEOPRENE TRANSFEMORAL SUSPENSION,ok_retry,bing,https://i.pinimg.com/originals/da/5c/de/da5cde16950828b415f685eca0cb0c8b.jpg,/home/z/my-project/download/product_images/6030.jpg,55.4
5973,,4224200016000,SILICONE LINER BREATHABLE CUSHION FOR TRANSTIBIAL AMPUTEES SUITABLE FOR AMPUTEES WITH EXCESS SOFT TISSUE CLOTH COVER THICKNESS: 2.5-3 MM ASSORTED SIZES PROSTHETICS & ORTHOSIS SUPPLIES,SILICONE LINER BREATHABLE,ok_retry,bing,http://postfiles6.naver.net/MjAxODAyMDRfNjMg/MDAxNTE3NzM4ODAyODQ5.tJlLqhR8-QxPms3-uR6-jJhxLw-Qz7ASxiVPHNI3TcUg.EhNQCLOwkF0U8RUPSeshvrtDvh_N2Z4Spbkr-eqezpYg.PNG.13333331/어빌리티_수치표.png?type=w1,/home/z/my-project/download/product_images/5973.jpg,85.0
6168,,4224200223200,PROSTHETIC HAND PASSIVE (NON FUNCTIONAL) COSMETIC FOAM SIZE 7 3/8 INCHES RIGHT PROSTHETICS & ORTHOSIS SUPPLIES,PROSTHETIC HAND PASSIVE,ok_retry,bing,https://misoway.com/wp-content/uploads/2024/09/jiaotangfeng_nanya-coverphoto-by-misotosee.jpg,/home/z/my-project/download/product_images/6168.jpg,72.1
6202,,4224200218200,PROSTHETIC HAND MULTI ARTICULATING MYOELECTRIC HAND WITH FLEXION WRIST (3 STAGE JOINT) OFFERS 30 DEGREE OR MORE IN EITHER DIRECTION AND CAN BE LOCKED IN EACH 3 POSITIONS INDIVIDUAL FINGER MOVEMENT 14 ,PROSTHETIC HAND MULTI,ok_retry,bing,https://a.1stdibscdn.com/paper-moon-1974-italian-due-fogli-film-poster-for-sale-picture-2/22569652/f_322522921673880554600/paper_moon_39606_2_master.jpg,/home/z/my-project/download/product_images/6202.jpg,52.7
6217,,4224170113900,BOOT ORTHOPEDIC MALE FULL GRAIN COW/CALF LEATHER PLAIN FRONTED WITH SEAM FREE VAMPS PADDED COLLARS BOOT HEIGHT APPROXIMATELY 125 MM LACE CLOSURE SOFT PADDING AROUND THE COLLAR FOR A BETTER FIT ; A HIG,BOOT ORTHOPEDIC MALE,ok_retry,bing,https://m.media-amazon.com/images/I/81IGSgV3PrL._AC_SL1500_.jpg,/home/z/my-project/download/product_images/6217.jpg,93.6
6353,,4231155304000,STOCKINETTE PERLON WHITE WIDTH 100 MM APPROXIMATELY L/ROLL 36-38 METER PROSTHETICS & ORTHOSIS SUPPLIES,STOCKINETTE PERLON WHITE,ok_retry,bing,https://64.media.tumblr.com/5acc1f5f6d27b2e60d1af02edf49747c/tumblr_inline_oonwm0j8cd1sgl128_400.gifv,/home/z/my-project/download/product_images/6353.jpg,19.2
6228,,4224151007500,THERMOFORMING SHEETS STREIFLEX COLOR ELASTIC THICKNESS 4 MM LIGHT BLUE SIZE 1.115 X 900 MM APPROXIMATELY PROSTHETICS & ORTHOSIS SUPPLIES,THERMOFORMING SHEETS STREIFLEX,ok_retry,bing,"https://images.stockx.com/images/LEGO-Legends-of-Chima-The-Lion-CHI-Temple-Set-70010.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&q=90&dpr=2&trim=color&updated_at=1613490622",/home/z/my-project/download/product_images/6228.jpg,74.7
6382,,4224170619700,ANTI-VARUS SHOES PEDIATRIC FULL COW/CALF LEATHER UPPER SPLIT COW LEATHER LINING HIGH ANKLE HARD HEEL TWO VELCRO STRAP MADE ON ANTI VARUS LASTS ; SOFT PADDING AROUND THE COLLAR; SPECIAL EXTENDED STIFFE,ANTI-VARUS SHOES PEDIATRIC,ok_retry,bing,https://sc01.alicdn.com/kf/HTB1BS7.GpXXXXc4XXXXq6xXFXXXw/201612079/HTB1BS7.GpXXXXc4XXXXq6xXFXXXw.jpg,/home/z/my-project/download/product_images/6382.jpg,37.3
6442,,4224170618700,ANTI-VARUS SHOES PEDIATRIC FULL COW/CALF LEATHER UPPER SPLIT COW LEATHER LINING HIGH ANKLE HARD HEEL TWO VELCRO STRAP MADE ON ANTI VARUS LASTS ; SOFT PADDING AROUND THE COLLAR; SPECIAL EXTENDED STIFFE,ANTI-VARUS SHOES PEDIATRIC,ok_retry,bing,https://sc01.alicdn.com/kf/HTB1BS7.GpXXXXc4XXXXq6xXFXXXw/201612079/HTB1BS7.GpXXXXc4XXXXq6xXFXXXw.jpg,/home/z/my-project/download/product_images/6442.jpg,37.3
6187,,4224200217500,"ELECTRONIC, HAND, CHILDREN, 5 - 10 YEARS OLD, RIGHT PROSTHETICS & ORTHOSIS SUPPLIES",ELECTRONIC HAND CHILDREN YEARS medical,ok_retry,duckduckgo,https://m.media-amazon.com/images/I/71E7xKsAoRL._AC_SL1500_.jpg,/home/z/my-project/download/product_images/6187.jpg,53.4
6531,,4224170308600,"NEOPRENE TRANSFEMORAL SUSPENSION SLEEVE, SIZE MEDIUM, LEFT PROSTHETICS & ORTHOSIS SUPPLIES",NEOPRENE TRANSFEMORAL SUSPENSION,ok_retry,bing,https://www.centropcd.com.br/cdn/shop/files/Suspensaotransfemoral4.png?v=1698698714&width=1500,/home/z/my-project/download/product_images/6531.jpg,25.3
6464,,4224170202100,HIP ABDUCTION PILLOW PEDIATRIC FREJKA MODEL 480 OR EQUIVALENT ADJUSTABLE AND LONG SHOULDER STRAPS WITH CLICK CLIPS REMOVABLE PADDING AND HARD ABDUCTION SUPPORT WASHABLE MATERIAL SIZE 14-15 PROSTHETICS,HIP ABDUCTION PILLOW,ok_retry,bing,https://lenprint.ru/script/catalog_pics/pic/53119.jpg,/home/z/my-project/download/product_images/6464.jpg,46.5
6587,,4214360501200,T - STRAP STANDARD DESIGN LEATHER LINED WITH COWHIDE BROWN MEDIUM PROSTHETICS & ORTHOSIS SUPPLIES,STRAP STANDARD DESIGN,ok_retry,bing,https://img2.animatetimes.com/2025/08/754929447ba41bc77aae415f7ca4a4f468afc308bc0e47_78375868_fed9f2107d617a04253e1ec97ba42b5238403d4b.jpg,/home/z/my-project/download/product_images/6587.jpg,34.3
7261,,4214182300500,"ROUND SPONGES, USED WITH THE VACUUM ELECTRODES, SIZE: 90 MM, PACK OF 4 SPONGES",ROUND SPONGES USED,ok_retry,bing,https://down-ph.img.susercontent.com/file/sg-11134201-22120-regqx01e9ikvdb,/home/z/my-project/download/product_images/7261.jpg,76.1
6868,,4214280000300,"ADDITIONAL FLAP FOR GENITAL AREA, NEOPRENE",ADDITIONAL FLAP FOR,ok_retry,bing,https://live.staticflickr.com/2499/4041148575_6b263740e2_b.jpg,/home/z/my-project/download/product_images/6868.jpg,44.2
7463,,4231250003500,"SILICONE GEL, TUBE, FOR SCAR MANAGEMENT, THIN LAYER OF GEL COVERING SKIN WITHOUT PENETRATING IT, NON STICKY AND QUICK DRYING AND MOISTURE, TUBE WEIGHT:15 ML( SCAR MANAGEMENT)",SILICONE GEL TUBE,ok_retry,bing,https://mens-hairstyle.jp/wp-content/uploads/2025/07/5435DD68-08BC-47FB-AC4D-8CA9B9F738FF.jpeg,/home/z/my-project/download/product_images/7463.jpg,60.9
6784,,4224160001800,CONICAL SANDING DRUM THREAD 5/8 INCHES LENGTH 60 MM APPROXIMATELY DIAMETER 36/22 MM APPROXIMATELY PROSTHETICS & ORTHOSIS SUPPLIES,CONICAL SANDING DRUM,ok_retry,bing,https://bt-cars.pl/421102-large_default/audi-a8-dociaganie-drzwi-dociagi-domykanie-4n0837059-4n0837060-4m1959795j-4m1959793j-4m1959792d-4n0971029an-4n1837015b-4n-d5.jpg,/home/z/my-project/download/product_images/6784.jpg,27.8
7731,,4225170001100,"IMMOBILIZER, ARM OR LEG, MADE OF PRINTED COTTON, LINED WITH SOFT LAYER INNER CLOTH, HAS EQUALLY DIVIDED PLASTIC STRIPS TO PROVIDE RIGIDITY, PADDED WITH MINIMUM 2 CM, THICK FOAM IN THE INSIDE VELCRO ST",IMMOBILIZER ARM OR,ok_retry,bing,http://i.ndtvimg.com/auto/makers/29/190/maruti-suzuki-alto-800.jpg,/home/z/my-project/download/product_images/7731.jpg,37.6
11028,,4224200427900,"BELOW KNEE RESIDUAL LIMB COMPRESSION SOCKS CLASS 2, SIZE LARGE 30 PROSTHETICS & ORTHOSIS SUPPLIES SUPPLEMENTARY",BELOW KNEE RESIDUAL,ok_retry,bing,https://i.pinimg.com/736x/82/31/75/823175d424839594b75f95f8a82f90fb.jpg,/home/z/my-project/download/product_images/11028.jpg,55.0
7666,,4224170301700,"KNEE IMMOBILIZER, 3-PANEL, WITH RIGID STAY, WRAP AROUND DESIGN, SIZE X-LARGE",KNEE IMMOBILIZER 3-PANEL,ok_retry,duckduckgo,https://i5.walmartimages.com/seo/United-Ortho-61024-3-Panel-Knee-Immobilizer-24-Size_65f640a2-4443-417e-9dce-771045cb54e0.e2990d0185eb9182dd6b57567e18b129.jpeg,/home/z/my-project/download/product_images/7666.jpg,16.4
11029,,4224200429600,"BELOW KNEE RESIDUAL LIMB COMPRESSION SOCKS CLASS 2, SIZE XX-LARGE 46 PROSTHETICS & ORTHOSIS SUPPLIES SUPPLEMENTARY",BELOW KNEE RESIDUAL,ok_retry,bing,https://i.pinimg.com/736x/b3/5b/f1/b35bf1884df413c23680c7c5bcbc7615.jpg,/home/z/my-project/download/product_images/11029.jpg,47.5
11472,,4231250003700,"SILICONE GEL, TUBE, OINTMENT, FOR SCAR MANAGEMENT, FOR SENSITIVE SKIN, WATERPROOF AND MOISTURE, TUBE WEIGHT:10 GRAM",SILICONE GEL TUBE,ok_retry,bing,https://mir-s3-cdn-cf.behance.net/project_modules/1400/3a3324179359701.64f8561d7bbd5.png,/home/z/my-project/download/product_images/11472.jpg,32.0
11676,,4225160806200,"THERAPEUTIC, PUTTY, WORKS TO STRENGTHEN HANDS AND HELP PREVENT FUTURE HAND AND WRIST PROBLEMS, AND HAND GRIP, EXERCISES, STRESS RELIEF EXERCISES, WRIST EXERCISES, AND UPPER ARM EXERCISES, IT IS FOR ST",THERAPEUTIC PUTTY WORKS,ok_retry,bing,https://thumb-nss.xhcdn.com/a/LR6bj-Z-bDAuN6Jsp0CfmQ/022/785/910/1280x720.c.jpg.v1669480921,/home/z/my-project/download/product_images/11676.jpg,27.3
11795,,4221150603200,"WALKER, ANTERIOR SUPPORT, FOREARM CUSHIONS SUPPORTS, WITH CHEST AND ADJUSTABLE SIDE CUSHIONS, FOLDING, MADE OF ALUMINUM, WITH 2-FRONTAL SWIVEL WHEELS, AND 2-REAR WHEELS, WITH ADJUSTABLE HEIGHT, 94 – 1",WALKER ANTERIOR SUPPORT,ok_retry,bing,https://wallpaperaccess.com/full/4224720.jpg,/home/z/my-project/download/product_images/11795.jpg,6.6
